レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240706EDG09,江戸川,09R,晴,右追い風,6.0,5.0,37.1,6,51,B1,5.44,30.77,3.31,12.5,21.21,17.86,7.04,5,0,0,0.5427179227646718,0.3624366747056301,0.17463096968389186,-0.03805146928917796,-1.1951964168870595,-0.8123853940850473,-0.31764266241571476
20240706EDG10,江戸川,10R,晴,追い風,5.0,5.0,37.1,6,47,B1,3.58,15.79,3.14,13.79,36.36,43.33,7.02,6,0,0,-0.30966793307411195,-0.33267216767814567,0.37010919832263434,0.5230358872562028,0.42462580233406694,0.6274031633436035,-1.3219125133183172
20240706EDG11,江戸川,11R,曇り,追い風,6.0,5.0,37.1,6,52,B1,3.12,5.38,2.59,6.25,25.81,32.35,7.02,4,0,0,-1.9584662518393798,-1.909808537481721,-0.649970751974227,-0.6594262085358912,-0.7235511713847035,-0.04567782757502756,0.3722645984563305
20240706EDG12,江戸川,12R,雨,右追い風,6.0,5.0,37.1,6,52,B2,5.34,28.13,5.14,38.1,31.25,32.14,7.01,4,0,0,-0.5932724557999599,-1.2490594216994162,-1.799667186879979,-1.2398146275220503,-0.23740043538687675,-0.19190871881778349,0.49009802940978686
20240706KRY01,桐生,01R,曇り,左追い風,1.0,1.0,47.0,6,51,B2,1.63,1.85,1.66,2.44,26.53,32.56,6.76,4,0,0,-1.4763044578069695,-1.2484904938720063,-0.6794546027116277,-0.92477458330506,-1.005143030925189,0.23637423727250528,-1.3623731522826896
20240706KRY02,桐生,02R,雨,左追い風,2.0,1.0,47.0,6,55,B1,4.55,23.89,0.0,0.0,29.84,32.56,6.85,4,0,0,0.2456549759519502,0.11576057462926691,-1.3285342703133078,-1.03142439599977,-0.8758888083804576,-0.18305970774087016,0.06314460253533331
20240706KRY03,桐生,03R,雨,右追い風,2.0,1.0,47.0,6,56,B1,2.68,5.0,0.0,0.0,15.19,35.43,6.93,6,0,0,-1.448905688664119,-1.344804723199461,-1.2683507982734679,-1.219080144624116,-1.7160395783117646,0.7014680662364127,0.8968652080586093
20240706KRY04,桐生,04R,雨,右追い風,3.0,2.0,47.0,6,55,A2,6.11,42.31,5.85,37.7,25.0,39.52,6.92,2,0,1,0.568504897923058,0.5623511093422442,0.25015959146215194,0.0014261742364429922,-0.7402191046758988,0.5446767435801926,1.3800778060388648
20240706KRY05,桐生,05R,雨,左向かい風,2.0,1.0,47.0,6,51,B1,3.73,16.42,5.07,30.23,31.58,35.66,6.9,4,0,0,-1.120193578364556,-0.9802097449335819,-0.037577823377623866,0.050831823066555815,0.21650842836884204,0.43407192128207883,0.5629399687806045
20240706KRY06,桐生,06R,曇り,無風,0.0,0.0,47.0,6,55,B1,5.76,37.0,4.69,37.5,33.33,32.81,6.79,2,0,1,0.8619710512272835,0.7212594732090176,0.48758884450772255,0.6514457860131857,0.3061073029888557,-0.6121369402960469,-0.2473096834147534
